,ID_Person,age,race,sex,educ,hhinc,hhtrips,hhsize,companions,wrkhrs,hhveh,distance,cluster
49,700009871.0,38.0,1.0,2.0,5.0,9.0,21.0,6.0,0.0,6.0,2.0,12.531,1.0
50,700011362.0,36.0,1.0,1.0,6.0,10.0,15.0,4.0,2.0,40.0,2.0,0.996,2.0
51,700011362.0,36.0,1.0,1.0,6.0,10.0,15.0,4.0,2.0,40.0,2.0,1.0,2.0
52,700013831.0,27.0,1.0,2.0,6.0,6.0,13.0,3.0,0.0,30.0,0.0,11.21,0.0
53,700013832.0,26.0,1.0,2.0,5.0,6.0,13.0,3.0,1.0,35.0,0.0,1.614,0.0
54,700013833.0,27.0,1.0,2.0,5.0,6.0,13.0,3.0,0.0,45.0,0.0,5.484,0.0
55,700014175.0,21.0,1.0,2.0,3.0,9.0,15.0,5.0,0.0,45.0,2.0,2.902,0.0
56,700015022.0,29.0,1.0,2.0,6.0,6.0,8.0,2.0,0.0,40.0,1.0,5.41,0.0
57,700015022.0,29.0,1.0,2.0,6.0,6.0,8.0,2.0,0.0,40.0,1.0,5.267,0.0
58,700017631.0,51.0,1.0,2.0,6.0,10.0,16.0,5.0,0.0,40.0,3.0,12.731,0.0
59,700017632.0,49.0,1.0,1.0,6.0,10.0,16.0,5.0,0.0,45.0,3.0,9.834,2.0
60,700018672.0,58.0,1.0,2.0,6.0,10.0,13.0,3.0,0.0,40.0,1.0,9.781,0.0
61,700019121.0,33.0,1.0,1.0,6.0,6.0,9.0,1.0,1.0,40.0,0.0,5.482,2.0
62,700019121.0,33.0,1.0,1.0,6.0,6.0,9.0,1.0,1.0,40.0,0.0,4.073,2.0
63,700019121.0,33.0,1.0,1.0,6.0,6.0,9.0,1.0,1.0,40.0,0.0,4.036,2.0
64,700019231.0,41.0,1.0,1.0,6.0,10.0,9.0,2.0,0.0,20.0,1.0,16.671,2.0
65,700020031.0,28.0,2.0,2.0,6.0,5.0,6.0,1.0,0.0,40.0,0.0,0.512,0.0
66,700020372.0,29.0,1.0,2.0,6.0,6.0,8.0,2.0,0.0,40.0,0.0,19.029,0.0
67,700020511.0,27.0,1.0,2.0,5.0,5.0,4.0,1.0,0.0,35.0,0.0,1.748,0.0
68,700021001.0,45.0,1.0,1.0,5.0,9.0,7.0,2.0,0.0,40.0,1.0,2.348,2.0
69,700022261.0,41.0,1.0,2.0,5.0,9.0,6.0,2.0,0.0,40.0,1.0,4.269,0.0
70,700022262.0,41.0,1.0,1.0,5.0,9.0,6.0,2.0,0.0,40.0,1.0,5.551,2.0
71,700022531.0,36.0,1.0,2.0,6.0,10.0,6.0,2.0,0.0,40.0,1.0,5.538,0.0
72,700023551.0,60.0,1.0,2.0,6.0,9.0,5.0,1.0,0.0,40.0,1.0,1.052,0.0
73,700027591.0,31.0,1.0,1.0,5.0,7.0,8.0,2.0,0.0,40.0,0.0,2.79,2.0
74,700028891.0,57.0,1.0,2.0,6.0,10.0,5.0,4.0,0.0,35.0,2.0,9.961,0.0
75,700029101.0,38.0,1.0,2.0,6.0,6.0,5.0,1.0,0.0,8.0,1.0,3.516,0.0
76,700029406.0,15.0,1.0,1.0,1.0,10.0,13.0,6.0,3.0,40.0,3.0,3.474,1.0
77,700029891.0,57.0,1.0,2.0,5.0,7.0,9.0,2.0,1.0,40.0,2.0,1.467,0.0
78,700029891.0,57.0,1.0,2.0,5.0,7.0,9.0,2.0,1.0,40.0,2.0,1.68,0.0
79,700030501.0,68.0,1.0,2.0,6.0,10.0,13.0,2.0,1.0,40.0,1.0,2.839,0.0
80,700030501.0,68.0,1.0,2.0,6.0,10.0,13.0,2.0,1.0,40.0,1.0,3.521,0.0
81,700030502.0,79.0,1.0,1.0,5.0,10.0,13.0,2.0,1.0,40.0,1.0,2.839,2.0
82,700030502.0,79.0,1.0,1.0,5.0,10.0,13.0,2.0,1.0,40.0,1.0,3.521,2.0
83,700031364.0,12.0,3.0,1.0,1.0,10.0,9.0,4.0,2.0,40.0,2.0,4.439,2.0
84,700031423.0,21.0,1.0,1.0,2.0,9.0,9.0,3.0,0.0,40.0,2.0,1.887,2.0
85,700031423.0,21.0,1.0,1.0,2.0,9.0,9.0,3.0,0.0,40.0,2.0,1.946,2.0
86,700031451.0,64.0,1.0,2.0,5.0,6.0,15.0,2.0,1.0,24.0,2.0,1.515,0.0
87,700031451.0,64.0,1.0,2.0,5.0,6.0,15.0,2.0,1.0,24.0,2.0,1.426,0.0
88,700031711.0,68.0,1.0,1.0,6.0,2.0,7.0,1.0,2.0,30.0,1.0,18.819,2.0
89,700031711.0,68.0,1.0,1.0,6.0,2.0,7.0,1.0,2.0,30.0,1.0,19.096,2.0
90,700032121.0,25.0,1.0,2.0,5.0,9.0,5.0,2.0,0.0,40.0,2.0,6.168,0.0
91,700032251.0,43.0,1.0,1.0,5.0,10.0,7.0,3.0,0.0,45.0,1.0,1.769,2.0
92,700032362.0,50.0,1.0,2.0,4.0,10.0,4.0,2.0,2.0,30.0,3.0,3.976,0.0
93,700032641.0,23.0,1.0,1.0,5.0,10.0,6.0,3.0,1.0,8.0,2.0,17.866,2.0
94,700033451.0,51.0,1.0,1.0,6.0,9.0,16.0,4.0,1.0,48.0,2.0,6.356,2.0
95,700033891.0,50.0,1.0,2.0,5.0,7.0,5.0,1.0,2.0,40.0,1.0,1.207,0.0
96,700033891.0,50.0,1.0,2.0,5.0,7.0,5.0,1.0,2.0,40.0,1.0,3.166,0.0
97,700033891.0,50.0,1.0,2.0,5.0,7.0,5.0,1.0,2.0,40.0,1.0,1.43,0.0
98,700033982.0,43.0,1.0,2.0,6.0,10.0,18.0,4.0,4.0,40.0,2.0,4.458,0.0
99,700033983.0,14.0,1.0,2.0,1.0,10.0,18.0,4.0,3.0,40.0,2.0,2.399,1.0
100,700033983.0,14.0,1.0,2.0,1.0,10.0,18.0,4.0,5.0,40.0,2.0,2.39,1.0
101,700033983.0,14.0,1.0,2.0,1.0,10.0,18.0,4.0,5.0,40.0,2.0,2.399,1.0
102,700033984.0,11.0,1.0,1.0,1.0,10.0,18.0,4.0,5.0,40.0,2.0,4.458,1.0
103,700033984.0,11.0,1.0,1.0,1.0,10.0,18.0,4.0,4.0,40.0,2.0,4.461,1.0
104,700034001.0,44.0,1.0,1.0,6.0,10.0,16.0,4.0,0.0,50.0,1.0,1.27,2.0
105,700034004.0,10.0,1.0,1.0,1.0,10.0,16.0,4.0,1.0,40.0,1.0,3.032,1.0
106,700034032.0,56.0,1.0,2.0,4.0,9.0,17.0,4.0,1.0,40.0,3.0,20.022,0.0
107,700034032.0,56.0,1.0,2.0,4.0,9.0,17.0,4.0,1.0,40.0,3.0,20.282,0.0
108,700034033.0,27.0,1.0,2.0,5.0,9.0,17.0,4.0,1.0,40.0,3.0,20.048,1.0
109,700034033.0,27.0,1.0,2.0,5.0,9.0,17.0,4.0,1.0,40.0,3.0,20.272,1.0
110,700034034.0,23.0,1.0,2.0,2.0,9.0,17.0,4.0,1.0,40.0,3.0,1.866,0.0
111,700034421.0,36.0,1.0,1.0,6.0,9.0,14.0,2.0,0.0,40.0,1.0,0.853,2.0
112,700034461.0,52.0,1.0,1.0,6.0,10.0,22.0,4.0,0.0,9.0,2.0,0.942,2.0
